Волосовский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Всего,517.0,510.0,465.0,545.0,473.0,464.0,456.0,447.0,492.0,536.0
Женщины,217.0,244.0,220.0,257.0,232.0,214.0,218.0,220.0,267.0,280.0
Мужчины,300.0,266.0,245.0,288.0,241.0,250.0,238.0,227.0,225.0,256.0
19,,,,,,,,,,
Всего,529.0,586.0,559.0,514.0,572.0,513.0,488.0,495.0,460.0,460.0
Женщины,201.0,224.0,252.0,222.0,257.0,234.0,220.0,218.0,229.0,265.0
Мужчины,328.0,362.0,307.0,292.0,315.0,279.0,268.0,277.0,231.0,195.0
15-19,,,,,,,,,,
Всего,2460.0,2529.0,2486.0,2467.0,2457.0,2389.0,2470.0,2499.0,2563.0,2560.0
Женщины,1119.0,1179.0,1201.0,1156.0,1145.0,1146.0,1205.0,1214.0,1278.0,1307.0
Мужчины,1341.0,1350.0,1285.0,1311.0,1312.0,1243.0,1265.0,1285.0,1285.0,1253.0
18-19,,,,,,,,,,
Всего,1046.0,1096.0,1024.0,1059.0,1045.0,977.0,944.0,942.0,952.0,996.0
Женщины,418.0,468.0,472.0,479.0,489.0,448.0,438.0,438.0,496.0,545.0
Мужчины,628.0,628.0,552.0,580.0,556.0,529.0,506.0,504.0,456.0,451.0
20,,,,,,,,,,
Всего,578.0,529.0,591.0,553.0,538.0,573.0,526.0,508.0,468.0,459.0
Женщины,240.0,208.0,238.0,260.0,235.0,264.0,244.0,245.0,208.0,237.0
Мужчины,338.0,321.0,353.0,293.0,303.0,309.0,282.0,263.0,260.0,222.0
21,,,,,,,,,,
Всего,600.0,583.0,521.0,575.0,556.0,547.0,576.0,530.0,470.0,495.0
Женщины,266.0,249.0,213.0,243.0,268.0,244.0,269.0,256.0,225.0,208.0
Мужчины,334.0,334.0,308.0,332.0,288.0,303.0,307.0,274.0,245.0,287.0
22,,,,,,,,,,
Всего,627.0,604.0,564.0,519.0,568.0,567.0,568.0,567.0,494.0,522.0
Женщины,355.0,277.0,251.0,226.0,244.0,280.0,252.0,267.0,237.0,241.0
Мужчины,272.0,327.0,313.0,293.0,324.0,287.0,316.0,300.0,257.0,281.0
23,,,,,,,,,,
Всего,686.0,651.0,621.0,577.0,530.0,594.0,597.0,583.0,506.0,508.0
Женщины,344.0,371.0,280.0,258.0,225.0,251.0,295.0,251.0,232.0,234.0
Мужчины,342.0,280.0,341.0,319.0,305.0,343.0,302.0,332.0,274.0,274.0
24,,,,,,,,,,
Всего,751.0,702.0,653.0,615.0,579.0,524.0,612.0,583.0,465.0,496.0
Женщины,398.0,358.0,369.0,283.0,257.0,224.0,266.0,294.0,218.0,227.0
Мужчины,353.0,344.0,284.0,332.0,322.0,300.0,346.0,289.0,247.0,269.0
20-24,,,,,,,,,,
Всего,3242.0,3069.0,2950.0,2839.0,2771.0,2805.0,2879.0,2771.0,2403.0,2480.0
Женщины,1603.0,1463.0,1351.0,1270.0,1229.0,1263.0,1326.0,1313.0,1120.0,1147.0
Мужчины,1639.0,1606.0,1599.0,1569.0,1542.0,1542.0,1553.0,1458.0,1283.0,1333.0
25,,,,,,,,,,
Всего,820.0,755.0,722.0,644.0,605.0,572.0,527.0,602.0,471.0,466.0
Женщины,408.0,409.0,354.0,369.0,285.0,256.0,237.0,261.0,230.0,214.0
Мужчины,412.0,346.0,368.0,275.0,320.0,316.0,290.0,341.0,241.0,252.0
26,,,,,,,,,,
Всего,974.0,843.0,757.0,731.0,633.0,613.0,589.0,519.0,493.0,456.0
Женщины,449.0,421.0,420.0,364.0,362.0,281.0,274.0,228.0,227.0,224.0
Мужчины,525.0,422.0,337.0,367.0,271.0,332.0,315.0,291.0,266.0,232.0
27,,,,,,,,,,
Всего,949.0,1000.0,832.0,758.0,710.0,633.0,626.0,576.0,496.0,490.0
Женщины,466.0,463.0,418.0,414.0,356.0,362.0,288.0,265.0,215.0,229.0
Мужчины,483.0,537.0,414.0,344.0,354.0,271.0,338.0,311.0,281.0,261.0
28,,,,,,,,,,
Всего,1001.0,975.0,987.0,830.0,755.0,734.0,658.0,617.0,491.0,495.0
Женщины,480.0,481.0,468.0,414.0,413.0,376.0,369.0,282.0,230.0,214.0
Мужчины,521.0,494.0,519.0,416.0,342.0,358.0,289.0,335.0,261.0,281.0
29,,,,,,,,,,
Всего,942.0,1022.0,958.0,986.0,840.0,749.0,743.0,637.0,593.0,489.0
Женщины,429.0,487.0,469.0,463.0,416.0,409.0,389.0,347.0,285.0,235.0
Мужчины,513.0,535.0,489.0,523.0,424.0,340.0,354.0,290.0,308.0,254.0
25-29,,,,,,,,,,
Всего,4686.0,4595.0,4256.0,3949.0,3543.0,3301.0,3143.0,2951.0,2544.0,2396.0
Женщины,2232.0,2261.0,2129.0,2024.0,1832.0,1684.0,1557.0,1383.0,1187.0,1116.0
Мужчины,2454.0,2334.0,2127.0,1925.0,1711.0,1617.0,1586.0,1568.0,1357.0,1280.0
16-29,,,,,,,,,,
Всего,9895.0,9724.0,9194.0,8792.0,8303.0,7998.0,7907.0,7725.0,6972.0,6907.0
Женщины,4703.0,4662.0,4443.0,4236.0,3983.0,3824.0,3804.0,3673.0,3329.0,3310.0
Мужчины,5192.0,5062.0,4751.0,4556.0,4320.0,4174.0,4103.0,4052.0,3643.0,3597.0
30,,,,,,,,,,
Всего,896.0,957.0,1003.0,941.0,990.0,829.0,766.0,743.0,663.0,602.0
Женщины,430.0,436.0,475.0,463.0,468.0,422.0,418.0,384.0,314.0,283.0
Мужчины,466.0,521.0,528.0,478.0,522.0,407.0,348.0,359.0,349.0,319.0
до 30,,,,,,,,,,
Всего,,,,,,,,,15165.0,14912.0
Женщины,,,,,,,,,7301.0,7187.0
Мужчины,,,,,,,,,7864.0,7725.0
31,,,,,,,,,,
Всего,854.0,911.0,953.0,1016.0,909.0,974.0,840.0,748.0,740.0,671.0
Женщины,412.0,439.0,440.0,485.0,447.0,456.0,431.0,408.0,339.0,310.0
Мужчины,442.0,472.0,513.0,531.0,462.0,518.0,409.0,340.0,401.0,361.0
32,,,,,,,,,,
Всего,861.0,864.0,895.0,960.0,1004.0,903.0,978.0,825.0,771.0,747.0
Женщины,416.0,414.0,439.0,441.0,472.0,432.0,463.0,420.0,341.0,343.0
Мужчины,445.0,450.0,456.0,519.0,532.0,471.0,515.0,405.0,430.0,404.0
33,,,,,,,,,,
Всего,937.0,868.0,845.0,881.0,940.0,1012.0,915.0,940.0,819.0,766.0
Женщины,423.0,420.0,405.0,439.0,421.0,472.0,431.0,442.0,382.0,347.0
Мужчины,514.0,448.0,440.0,442.0,519.0,540.0,484.0,498.0,437.0,419.0
34,,,,,,,,,,
Всего,843.0,947.0,853.0,840.0,871.0,945.0,1050.0,915.0,924.0,830.0
Женщины,401.0,426.0,412.0,403.0,433.0,414.0,486.0,424.0,458.0,383.0
Мужчины,442.0,521.0,441.0,437.0,438.0,531.0,564.0,491.0,466.0,447.0
30-34,,,,,,,,,,
Всего,4391.0,4547.0,4549.0,4638.0,4714.0,4663.0,4549.0,4171.0,3917.0,3616.0
Женщины,2082.0,2135.0,2171.0,2231.0,2241.0,2196.0,2229.0,2078.0,1834.0,1666.0
Мужчины,2309.0,2412.0,2378.0,2407.0,2473.0,2467.0,2320.0,2093.0,2083.0,1950.0
35,,,,,,,,,,
Всего,856.0,854.0,927.0,852.0,833.0,876.0,956.0,1032.0,954.0,918.0
Женщины,399.0,408.0,413.0,410.0,395.0,442.0,427.0,474.0,456.0,460.0
Мужчины,457.0,446.0,514.0,442.0,438.0,434.0,529.0,558.0,498.0,458.0
36,,,,,,,,,,
Всего,856.0,857.0,830.0,920.0,847.0,821.0,888.0,938.0,1017.0,928.0
Женщины,385.0,400.0,397.0,404.0,408.0,400.0,448.0,420.0,492.0,437.0
Мужчины,471.0,457.0,433.0,516.0,439.0,421.0,440.0,518.0,525.0,491.0
37,,,,,,,,,,
Всего,754.0,861.0,851.0,839.0,910.0,835.0,829.0,887.0,895.0,991.0
Женщины,352.0,388.0,403.0,404.0,403.0,407.0,409.0,444.0,418.0,480.0
Мужчины,402.0,473.0,448.0,435.0,507.0,428.0,420.0,443.0,477.0,511.0
38,,,,,,,,,,
Всего,786.0,761.0,857.0,860.0,837.0,904.0,838.0,824.0,829.0,880.0
Женщины,390.0,354.0,385.0,408.0,406.0,402.0,414.0,406.0,411.0,415.0
Мужчины,396.0,407.0,472.0,452.0,431.0,502.0,424.0,418.0,418.0,465.0
39,,,,,,,,,,
Всего,769.0,793.0,765.0,840.0,843.0,828.0,903.0,837.0,843.0,815.0
