Всеволожский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Женщины,4764.0,5092.0,5880.0,6730.0,7372.0
Мужчины,4431.0,5014.0,5590.0,6137.0,6561.0
34,,,,,
Всего,8505.0,9984.0,11088.0,13083.0,13545.0
Женщины,4294.0,5198.0,5623.0,6779.0,7140.0
Мужчины,4211.0,4786.0,5465.0,6304.0,6405.0
30-34,,,,,
Всего,45719.0,50219.0,54726.0,62508.0,61859.0
Женщины,23163.0,25418.0,27469.0,32866.0,32959.0
Мужчины,22556.0,24801.0,27257.0,29642.0,28900.0
35,,,,,
Всего,8661.0,9183.0,10807.0,13568.0,13651.0
Женщины,4351.0,4635.0,5685.0,6801.0,7063.0
Мужчины,4310.0,4548.0,5122.0,6767.0,6588.0
36,,,,,
Всего,7515.0,9282.0,10029.0,14522.0,14179.0
Женщины,3899.0,4731.0,5122.0,7323.0,7178.0
Мужчины,3616.0,4551.0,4907.0,7199.0,7001.0
37,,,,,
Всего,7027.0,8046.0,10088.0,11482.0,14971.0
Женщины,3652.0,4211.0,5167.0,5834.0,7585.0
Мужчины,3375.0,3835.0,4921.0,5648.0,7386.0
38,,,,,
Всего,7706.0,7566.0,8715.0,11351.0,11977.0
Женщины,3924.0,3960.0,4553.0,5694.0,6109.0
Мужчины,3782.0,3606.0,4162.0,5657.0,5868.0
39,,,,,
Всего,6543.0,8414.0,8174.0,10157.0,11761.0
Женщины,3283.0,4332.0,4325.0,5226.0,5942.0
Мужчины,3260.0,4082.0,3849.0,4931.0,5819.0
30-39,,,,,
Всего,,92710.0,102539.0,123588.0,128398.0
Женщины,,47287.0,52321.0,63744.0,66836.0
Мужчины,,45423.0,50218.0,59844.0,61562.0
35-39,,,,,
Всего,37452.0,42491.0,47813.0,61080.0,66539.0
Женщины,19109.0,21869.0,24852.0,30878.0,33877.0
Мужчины,18343.0,20622.0,22961.0,30202.0,32662.0
40,,,,,
Всего,6359.0,7044.0,8971.0,8990.0,10486.0
Женщины,3188.0,3588.0,4656.0,4527.0,5458.0
Мужчины,3171.0,3456.0,4315.0,4463.0,5028.0
41,,,,,
Всего,5848.0,6883.0,7486.0,11203.0,9331.0
Женщины,2960.0,3473.0,3851.0,5535.0,4720.0
Мужчины,2888.0,3410.0,3635.0,5668.0,4611.0
42,,,,,
Всего,5624.0,6400.0,7303.0,8724.0,11535.0
Женщины,2936.0,3318.0,3709.0,4421.0,5730.0
Мужчины,2688.0,3082.0,3594.0,4303.0,5805.0
43,,,,,
Всего,5675.0,6164.0,6825.0,8721.0,9045.0
Женщины,2925.0,3281.0,3556.0,4423.0,4610.0
Мужчины,2750.0,2883.0,3269.0,4298.0,4435.0
44,,,,,
Всего,5391.0,6227.0,6526.0,6983.0,9018.0
Женщины,2750.0,3242.0,3536.0,3572.0,4593.0
Мужчины,2641.0,2985.0,2990.0,3411.0,4425.0
40-44,,,,,
Всего,28897.0,32718.0,37111.0,44621.0,49415.0
Женщины,14759.0,16902.0,19308.0,22478.0,25111.0
Мужчины,14138.0,15816.0,17803.0,22143.0,24304.0
45,,,,,
Всего,5073.0,5855.0,6650.0,7579.0,7239.0
Женщины,2616.0,2998.0,3485.0,3826.0,3712.0
Мужчины,2457.0,2857.0,3165.0,3753.0,3527.0
46,,,,,
Всего,5456.0,5553.0,6216.0,8306.0,7937.0
Женщины,2850.0,2913.0,3245.0,4161.0,4013.0
Мужчины,2606.0,2640.0,2971.0,4145.0,3924.0
47,,,,,
Всего,4856.0,6004.0,5953.0,7210.0,8579.0
Женщины,2558.0,3139.0,3143.0,3687.0,4339.0
Мужчины,2298.0,2865.0,2810.0,3523.0,4240.0
48,,,,,
Всего,5341.0,5307.0,6411.0,6219.0,7451.0
Женщины,2793.0,2845.0,3383.0,3214.0,3875.0
Мужчины,2548.0,2462.0,3028.0,3005.0,3576.0
49,,,,,
Всего,4783.0,5823.0,5632.0,6293.0,6474.0
Женщины,2563.0,3096.0,3032.0,3325.0,3395.0
Мужчины,2220.0,2727.0,2600.0,2968.0,3079.0
15-49,,,,,
Всего,206479.0,226694.0,246840.0,305324.0,317904.0
Женщины,104715.0,115829.0,127296.0,156560.0,163908.0
Мужчины,101764.0,110865.0,119544.0,148764.0,153996.0
40-49,,,,,
Всего,,61260.0,67973.0,80228.0,87095.0
Женщины,,31893.0,35596.0,40691.0,44445.0
Мужчины,,29367.0,32377.0,39537.0,42650.0
45-49,,,,,
Всего,25509.0,28542.0,30862.0,35607.0,37680.0
Женщины,13380.0,14991.0,16288.0,18213.0,19334.0
Мужчины,12129.0,13551.0,14574.0,17394.0,18346.0
50,,,,,
Всего,4557.0,5103.0,6079.0,5745.0,6471.0
Женщины,2425.0,2743.0,3296.0,3052.0,3460.0
Мужчины,2132.0,2360.0,2783.0,2693.0,3011.0
51,,,,,
Всего,4317.0,4939.0,5399.0,6616.0,6007.0
Женщины,2330.0,2652.0,2947.0,3367.0,3229.0
Мужчины,1987.0,2287.0,2452.0,3249.0,2778.0
52,,,,,
Всего,4486.0,4654.0,5286.0,5914.0,6856.0
Женщины,2472.0,2533.0,2881.0,3076.0,3514.0
Мужчины,2014.0,2121.0,2405.0,2838.0,3342.0
53,,,,,
Всего,4837.0,4822.0,4918.0,6225.0,6119.0
Женщины,2736.0,2693.0,2712.0,3247.0,3213.0
Мужчины,2101.0,2129.0,2206.0,2978.0,2906.0
54,,,,,
Всего,4956.0,5248.0,5053.0,4999.0,6475.0
Женщины,2746.0,2995.0,2852.0,2701.0,3383.0
Мужчины,2210.0,2253.0,2201.0,2298.0,3092.0
50-54,,,,,
Всего,23153.0,24766.0,26735.0,29499.0,31928.0
Женщины,12709.0,13616.0,14688.0,15443.0,16799.0
Мужчины,10444.0,11150.0,12047.0,14056.0,15129.0
55,,,,,
Всего,5293.0,5349.0,5499.0,5166.0,5217.0
Женщины,2848.0,2994.0,3186.0,2809.0,2832.0
Мужчины,2445.0,2355.0,2313.0,2357.0,2385.0
56,,,,,
Всего,5626.0,5627.0,5527.0,6665.0,5324.0
Женщины,3056.0,3043.0,3139.0,3542.0,2916.0
Мужчины,2570.0,2584.0,2388.0,3123.0,2408.0
57,,,,,
Всего,5681.0,6076.0,5827.0,5385.0,6832.0
Женщины,3154.0,3352.0,3190.0,3001.0,3634.0
Мужчины,2527.0,2724.0,2637.0,2384.0,3198.0
58,,,,,
Всего,6152.0,6019.0,6323.0,6372.0,5563.0
Женщины,3370.0,3376.0,3533.0,3359.0,3128.0
Мужчины,2782.0,2643.0,2790.0,3013.0,2435.0
59,,,,,
Всего,5544.0,6681.0,6239.0,5889.0,6490.0
Женщины,3087.0,3735.0,3554.0,3220.0,3457.0
Мужчины,2457.0,2946.0,2685.0,2669.0,3033.0
50-59,,,,,
Всего,,54518.0,56150.0,58976.0,61354.0
Женщины,,30116.0,31290.0,31374.0,32766.0
Мужчины,,24402.0,24860.0,27602.0,28588.0
55-59,,,,,
Всего,28296.0,29752.0,29415.0,29477.0,29426.0
Женщины,15515.0,16500.0,16602.0,15931.0,15967.0
Мужчины,12781.0,13252.0,12813.0,13546.0,13459.0
60,,,,,
Всего,5442.0,5877.0,6869.0,6185.0,6030.0
Женщины,3041.0,3348.0,3864.0,3508.0,3321.0
Мужчины,2401.0,2529.0,3005.0,2677.0,2709.0
61,,,,,
Всего,4995.0,5780.0,6034.0,6894.0,6312.0
Женщины,2912.0,3258.0,3467.0,3903.0,3594.0
Мужчины,2083.0,2522.0,2567.0,2991.0,2718.0
62,,,,,
Всего,4864.0,5316.0,5901.0,6169.0,7050.0
Женщины,2917.0,3126.0,3346.0,3579.0,4043.0
Мужчины,1947.0,2190.0,2555.0,2590.0,3007.0
63,,,,,
Всего,4740.0,5212.0,5416.0,6539.0,6273.0
Женщины,2696.0,3186.0,3209.0,3685.0,3698.0
Мужчины,2044.0,2026.0,2207.0,2854.0,2575.0
64,,,,,
Всего,4781.0,5047.0,5325.0,5166.0,6552.0
Женщины,2700.0,2908.0,3307.0,3076.0,3706.0
Мужчины,2081.0,2139.0,2018.0,2090.0,2846.0
60-64,,,,,
Всего,24822.0,27232.0,29545.0,30953.0,32217.0
Женщины,14266.0,15826.0,17193.0,17751.0,18362.0
Мужчины,10556.0,11406.0,12352.0,13202.0,13855.0
60-65,,,,,
Всего,4293.0,32309.0,34696.0,37101.0,37444.0
Женщины,2563.0,18720.0,20189.0,21232.0,21520.0
Мужчины,1730.0,13589.0,14507.0,15869.0,15924.0
старше 65,,,,,
Всего,15879.0,51379.0,55390.0,55819.0,60480.0
Женщины,9625.0,33254.0,35700.0,35310.0,37982.0
Мужчины,6254.0,18125.0,19690.0,20509.0,22498.0
65,,,,,
Всего,4293.0,5077.0,5151.0,6148.0,5227.0
Женщины,2563.0,2894.0,2996.0,3481.0,3158.0
Мужчины,1730.0,2183.0,2155.0,2667.0,2069.0
66,,,,,
Всего,4002.0,4570.0,5115.0,5372.0,6187.0
Женщины,2358.0,2782.0,2935.0,3102.0,3551.0
Мужчины,1644.0,1788.0,2180.0,2270.0,2636.0
67,,,,,
Всего,3758.0,4200.0,4607.0,5132.0,5420.0
Женщины,2397.0,2485.0,2824.0,2972.0,3181.0
Мужчины,1361.0,1715.0,1783.0,2160.0,2239.0
68,,,,,
Всего,4099.0,3908.0,4270.0,4572.0,5121.0
Женщины,2452.0,2567.0,2561.0,2776.0,3002.0
Мужчины,1647.0,1341.0,1709.0,1796.0,2119.0
69,,,,,
Всего,4020.0,4326.0,3904.0,4399.0,4583.0
Женщины,2418.0,2654.0,2574.0,2578.0,2776.0
Мужчины,1602.0,1672.0,1330.0,1821.0,1807.0
65-69,,,,,
Всего,20172.0,22081.0,23047.0,25623.0,26538.0
Женщины,12188.0,13382.0,13890.0,14909.0,15668.0
Мужчины,7984.0,8699.0,9157.0,10714.0,10870.0
70 и старше,,,,,
Всего,29914.0,34375.0,37494.0,36344.0,39169.0
Женщины,19978.0,22766.0,24806.0,23882.0,25472.0
Мужчины,9936.0,11609.0,12688.0,12462.0,13697.0
70-74,,,,,
Всего,12229.0,15609.0,17829.0,,
Женщины,7373.0,9530.0,11059.0,,
Мужчины,4856.0,6079.0,6770.0,,
75-79,,,,,
Всего,7928.0,7759.0,7278.0,,
Женщины,5506.0,5152.0,4886.0,,
Мужчины,2422.0,2607.0,2392.0,,
80-84 года,,,,,
Всего,6992.0,8111.0,8962.0,7180.0,6454.0
Женщины,4799.0,5619.0,6431.0,5253.0,4686.0
Мужчины,2193.0,2492.0,2531.0,1927.0,1768.0
85-89 лет,,,,,
Всего,2189.0,2290.0,2582.0,2919.0,3277.0
Женщины,1868.0,2048.0,1755.0,2228.0,2459.0
Мужчины,321.0,242.0,827.0,691.0,818.0
90-94 года,,,,,
Всего,492.0,499.0,739.0,960.0,960.0
Женщины,360.0,318.0,577.0,745.0,757.0
Мужчины,132.0,181.0,162.0,215.0,203.0
95-99 лет,,,,,
Всего,77.0,93.0,89.0,230.0,211.0
Женщины,72.0,89.0,89.0,181.0,146.0
Мужчины,5.0,4.0,0.0,49.0,65.0
100 и более лет,,,,,
Всего,7.0,14.0,15.0,16.0,18.0
Женщины,0.0,10.0,9.0,12.0,14.0
Мужчины,7.0,4.0,6.0,4.0,4.0
моложе трудоспособного возраста,,,,,
Всего,69163.0,77249.0,84396.0,73438.0,80786.0
Женщины,33565.0,37308.0,40758.0,35314.0,39072.0
Мужчины,35598.0,39941.0,43638.0,38124.0,41714.0
трудоспособный возраст,,,,,
Всего,239310.0,266693.0,288621.0,357011.0,370786.0
Женщины,115888.0,130654.0,143175.0,176758.0,184682.0
Мужчины,123422.0,136039.0,145446.0,180253.0,186104.0
старше трудоспособного возраста,,,,,
Всего,90423.0,94665.0,100497.0,96832.0,102716.0
Женщины,61947.0,65480.0,69305.0,66122.0,69721.0
Мужчины,28476.0,29185.0,31192.0,30710.0,32995.0
