Волховский муниципальный район,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Женщины,6128.0,6176.0,6176.0,6184.0,6112.0,5988.0,5908.0,5818.0,4871.0,4735.0
Мужчины,6452.0,6462.0,6461.0,6424.0,6426.0,6239.0,6093.0,6012.0,5139.0,5061.0
от 10-14,,,,,,,,,,
Всего,3910.0,4005.0,4084.0,4106.0,4227.0,4293.0,4358.0,4425.0,3770.0,3732.0
Женщины,1918.0,1969.0,2004.0,2013.0,2072.0,2064.0,2083.0,2126.0,1844.0,1790.0
Мужчины,1992.0,2036.0,2080.0,2093.0,2155.0,2229.0,2275.0,2299.0,1926.0,1942.0
14-15,,,,,,,,,,
Всего,1436.0,1451.0,1522.0,1563.0,1632.0,1698.0,1645.0,1634.0,1473.0,1527.0
Женщины,699.0,732.0,745.0,759.0,797.0,834.0,809.0,789.0,721.0,749.0
Мужчины,737.0,719.0,777.0,804.0,835.0,864.0,836.0,845.0,752.0,778.0
15,,,,,,,,,,
Всего,716.0,715.0,742.0,776.0,787.0,851.0,854.0,797.0,723.0,741.0
Женщины,335.0,364.0,367.0,375.0,384.0,416.0,422.0,383.0,342.0,373.0
Мужчины,381.0,351.0,375.0,401.0,403.0,435.0,432.0,414.0,381.0,368.0
16,,,,,,,,,,
Всего,745.0,712.0,709.0,735.0,781.0,774.0,840.0,877.0,719.0,703.0
Женщины,354.0,336.0,359.0,356.0,371.0,373.0,409.0,424.0,357.0,331.0
Мужчины,391.0,376.0,350.0,379.0,410.0,401.0,431.0,453.0,362.0,372.0
17,,,,,,,,,,
Всего,,,720.0,713.0,739.0,768.0,767.0,839.0,808.0,711.0
Женщины,,,336.0,348.0,350.0,358.0,367.0,416.0,382.0,351.0
Мужчины,,,384.0,365.0,389.0,410.0,400.0,423.0,426.0,360.0
5-17,,,,,,,,,,
Всего,,,10618.0,10738.0,10883.0,10901.0,10964.0,11049.0,9608.0,9417.0
Женщины,,,5167.0,5225.0,5276.0,5308.0,5352.0,5398.0,4646.0,4545.0
Мужчины,,,5451.0,5513.0,5607.0,5593.0,5612.0,5651.0,4962.0,4872.0
5-18 лет,,,,,,,,,,
Всего,,,,,,,,,,10144.0
Женщины,,,,,,,,,,4931.0
Мужчины,,,,,,,,,,5213.0
0-17,,,,,,,,,,
Всего,14824.0,14804.0,14808.0,14832.0,14845.0,14620.0,14462.0,14343.0,12260.0,11951.0
Женщины,7187.0,7229.0,7238.0,7263.0,7217.0,7135.0,7106.0,7041.0,5952.0,5790.0
Мужчины,7637.0,7575.0,7570.0,7569.0,7628.0,7485.0,7356.0,7302.0,6308.0,6161.0
16-17,,,,,,,,,,
Всего,1528.0,1451.0,1429.0,1448.0,1520.0,1542.0,1607.0,1716.0,1527.0,1414.0
Женщины,724.0,689.0,695.0,704.0,721.0,731.0,776.0,840.0,739.0,682.0
Мужчины,804.0,762.0,734.0,744.0,799.0,811.0,831.0,876.0,788.0,732.0
18,,,,,,,,,,
