М_Автовладельцы,Ж_Автовладельцы,Ж_Беременные,М_Занятые,Ж_Занятые,М_Инвалиды_ЗР,Ж_Инвалиды_ЗР,М_Инвалиды_ОДА_сгл,Ж_Инвалиды_ОДА_сгл,М_Инвалиды_ОДА,Ж_Инвалиды_ОДА,М_Мотоциклисты,Ж_Мотоциклисты,М_Мусульмане,Ж_Мусульмане,М_Православные,Ж_Православные
0.0,0.0,0.0,0.0,0.0,0.000333667000333667,0.00020253164556962027,0.006435006435006435,0.004354430379746836,0.004576004576004576,0.003139240506329114,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0003033673778946304,0.00021290185224611454,0.006471837395085448,0.0043644879710453485,0.004601071898068561,0.0031403023206301897,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.00034730836020838504,0.00020595201318092884,0.0064500124038700075,0.004376480280094738,0.004614239642768544,0.003140768201009165,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0003424489995597084,0.00020411287441955402,0.006457609705983074,0.004388426800020411,0.0045986008512303705,0.0031127213348981987,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0008445526355010184,0.0,0.0,0.0003359408744061045,0.00019871826717671022,0.006814800595095263,0.004570520145064335,0.004607189134712291,0.003129812708033186,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.001774808164117555,0.003549702057531691,0.003939102101207146,0.0003502977530901266,0.00020880096048441822,0.006855827453335335,0.004593621130657201,0.004603913326327379,0.0031320144072662735,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0026918610788556952,0.019465531974073594,0.021667365222388345,0.0003034747863031713,0.00021112635912593687,0.006828182691821355,0.004591998310989127,0.0046027009255980985,0.0031141137971075687,0.0,0.0,0.0,0.0,0.0,0.0
0.2552960347637154,0.21111656843483956,0.009250163719711853,0.030742006634774017,0.02980526796393108,0.00020891655872644466,0.00020464963981663392,0.003050181757406092,0.0030697445972495086,0.003050181757406092,0.0030697445972495086,0.0007520996114152008,0.00020464963981663392,0.03225671666736306,0.027545841519318926,0.3376927255254251,0.48235920104780616
0.33279685264663805,0.24713901043419725,0.009256142712891283,0.04891764998283113,0.044480558697790405,0.00022353361945636624,0.00021036687983843824,0.003040057224606581,0.0030713564456411983,0.003040057224606581,0.0030713564456411983,0.0009388412017167382,0.0005469538875799394,0.033664163090128756,0.028399528778189163,0.3278344062947067,0.469833389431168
0.4025500146793608,0.27518236846189664,0.03492162036318485,0.12985699695652483,0.1776147465186397,0.0002097051545526989,0.00023281080242123234,0.003061695256469404,0.0030653422318795594,0.003061695256469404,0.0030653422318795594,0.001342112989137273,0.001008846810492007,0.030323365348320263,0.02584199906875679,0.32554628192760976,0.4250737234207667
