oktmo,name,year,internat_inflow,internat_outflow,interreg_inflow,interreg_outflow,reg_inflow,reg_outflow,total_inflow,total_outflow
1651470,Хайрюзовский сельсовет,2019,2.0,2.0,31.0,30.0,61.0,69.0,94.0,101.0
1653000,Угловский муниципальный район,2019,112.0,20.0,116.0,203.0,292.0,498.0,520.0,721.0
1653411,Круглянский сельсовет,2019,4.0,2.0,5.0,20.0,27.0,43.0,36.0,65.0
1653422,Лаптевский сельсовет,2019,27.0,3.0,8.0,16.0,36.0,71.0,71.0,90.0
1653466,Павловский сельсовет,2019,13.0,4.0,13.0,17.0,25.0,53.0,51.0,74.0
1653480,Тополинский сельсовет,2019,6.0,1.0,15.0,22.0,25.0,39.0,46.0,62.0
1653488,Угловский сельсовет,2019,42.0,10.0,57.0,94.0,141.0,226.0,240.0,330.0
1654000,Усть-Калманский муниципальный район,2019,27.0,3.0,84.0,117.0,356.0,392.0,467.0,512.0
1654408,Кабановский сельсовет,2019,4.0,1.0,14.0,4.0,41.0,49.0,59.0,54.0
1654444,Огнёвский сельсовет,2019,1.0,1.0,7.0,9.0,17.0,43.0,25.0,53.0
1654455,Усть-Калманский сельсовет,2019,12.0,1.0,41.0,48.0,207.0,124.0,260.0,173.0
1655000,Усть-Пристанский муниципальный район,2019,4.0,6.0,64.0,84.0,228.0,286.0,296.0,376.0
1655440,Коробейниковский сельсовет,2019,3.0,1.0,4.0,5.0,10.0,11.0,17.0,17.0
1656000,Хабарский муниципальный район,2019,19.0,6.0,217.0,214.0,375.0,423.0,611.0,643.0
1656430,Мартовский сельсовет,2019,9.0,2.0,13.0,9.0,56.0,42.0,78.0,53.0
1656435,Мичуринский сельсовет,2019,2.0,1.0,15.0,26.0,38.0,56.0,55.0,83.0
1656493,Хабарский сельсовет,2019,4.0,2.0,82.0,82.0,134.0,90.0,220.0,174.0
1657000,Целинный муниципальный район,2019,30.0,2.0,124.0,203.0,239.0,397.0,393.0,602.0
