,name,Int_in,Ext_in,Int_out,Ext_out,center,lat,lon,oktmo,year
20,Калининградская область,42216,23450,35989.0,17223.0,Калининград,54.7065,20.5109,27701000,2023
21,Ленинградская область,92642,76615,69543.0,53516.0,Гатчина,59.5709,30.1333,41618000,2023
22,Мурманская область,29097,22187,28433.0,21523.0,Мурманск,68.9792,33.0925,47701000,2023
23,Новгородская область,19468,11087,18685.0,10304.0,Великий Новгород,58.5213,31.2756,49701000,2023
24,Псковская область,21804,12271,22605.0,13072.0,Псков,57.8136,28.3496,58701000,2023
25,Санкт-Петербург,176576,126212,166791.0,116427.0,Санкт-Петербург,59.9386,30.3141,40000000,2023
26,Республика Адыгея,20444,16620,16919.0,13095.0,Майкоп,44.6062,40.1041,79701000,2023
27,Республика Крым,46983,31142,43656.0,27815.0,Симферополь,44.9572,34.1108,35701000,2023
28,Краснодарский край,165994,121120,133498.0,88624.0,Краснодар,45.0355,38.9753,3701000,2023
29,Астраханская область,18028,10275,20383.0,12630.0,Астрахань,46.3497,48.0408,12701000,2023
30,Волгоградская область,55248,31375,56576.0,32703.0,Волгоград,48.7194,44.5018,18701000,2023
31,Севастополь,26288,20699,21254.0,15665.0,Севастополь,44.6166,33.5254,67000000,2023
32,Республика Татарстан,86594,37628,78509.0,29543.0,Казань,55.7887,49.1221,92701000,2023
33,Пермский край,61608,17596,63835.0,19823.0,Пермь,58.0105,56.2502,57701000,2023
34,Кировская область,42456,14198,41979.0,13721.0,Киров,58.6035,49.6668,33701000,2023
35,Нижегородская область,57234,25762,57082.0,25610.0,Нижний Новгород,56.2965,43.9361,22701000,2023
36,Пензенская область,23880,12859,24206.0,13185.0,Пенза,53.1959,45.0246,56701000,2023
37,Самарская область,63938,34188,60476.0,30726.0,Самара,53.1852,50.1191,36701000,2023
38,Саратовская область,48870,25697,51857.0,28684.0,Саратов,51.5406,46.0086,63701000,2023
39,Ульяновская область,20977,12526,21470.0,13019.0,Ульяновск,54.3181,48.3837,73701000,2023
40,Тюменская область,155404,103085,128878.0,76559.0,Тюмень,57.1522,65.5272,71701000,2023
41,Ханты-Мансийский автономный округ,83583,63165,62543.0,41455.0,Ханты-Мансийск,61.0042,69.0019,71871000,2023
42,Ямало-Ненецкий автономный округ,24294,19191,24550.0,18002.0,Салехард,66.5494,66.6014,71951000,2023
43,Кемеровская область,53753,24641,57243.0,28131.0,Кемерово,55.3549,86.087,32701000,2023
44,Омская область,36585,15792,41730.0,20937.0,Омск,54.9885,73.3242,52701000,2023
