,from_territory_id,to_territory_id,n_people
528,12,149,1
529,12,158,2
530,12,161,1
531,12,169,1
532,12,173,1
533,12,180,2
534,12,185,1
535,12,186,5
536,12,200,1
537,13,35,2
538,13,36,1
539,13,39,3
540,13,44,1
541,13,73,1
542,13,186,1
543,14,5,1
544,14,7,1
545,14,11,1
546,14,29,1
547,14,35,4
548,14,36,2
549,14,39,7
550,14,42,1
551,14,44,1
552,14,50,1
553,14,51,1
554,14,60,1
555,14,70,1
556,14,73,3
557,14,82,1
558,14,111,1
559,14,117,1
560,14,135,1
561,14,136,1
562,14,158,1
563,14,169,1
564,14,180,1
565,14,186,2
566,14,200,1
567,15,3,1
568,15,4,1
569,15,5,2
570,15,6,1
571,15,7,2
572,15,9,1
573,15,11,1
574,15,12,1
575,15,14,1
576,15,16,1
577,15,17,1
578,15,19,1
579,15,29,3
580,15,35,10
581,15,36,5
582,15,37,1
583,15,39,17
584,15,40,1
585,15,41,1
586,15,42,3
587,15,44,4
588,15,45,1
589,15,47,1
590,15,48,1
591,15,49,1
592,15,50,2
593,15,51,2
594,15,52,1
595,15,53,1
596,15,55,1
597,15,58,1
598,15,59,1
599,15,60,3
600,15,61,1
601,15,63,1
602,15,64,1
603,15,69,1
604,15,70,1
605,15,71,1
606,15,73,6
607,15,74,1
608,15,75,1
609,15,76,1
610,15,77,1
611,15,78,1
612,15,79,1
613,15,80,1
614,15,82,2
615,15,84,1
616,15,91,1
617,15,96,1
618,15,103,1
619,15,109,1
620,15,111,2
621,15,113,1
622,15,114,1
623,15,115,1
624,15,117,2
625,15,119,1
626,15,123,1
627,15,126,1
628,15,128,1
629,15,130,1
630,15,135,3
631,15,136,3
632,15,149,1
633,15,158,2
634,15,161,1
635,15,169,2
636,15,173,1
637,15,180,3
638,15,185,1
639,15,186,5
640,15,192,1
641,15,200,1
642,16,3,1
643,16,4,1
644,16,5,2
645,16,6,1
646,16,7,2
647,16,9,1
648,16,11,1
649,16,12,1
650,16,14,1
651,16,15,1
652,16,17,1
653,16,19,1
654,16,29,3
655,16,35,10
656,16,36,5
657,16,37,1
658,16,39,18
659,16,40,1
660,16,41,1
661,16,42,3
662,16,44,4
663,16,45,1
664,16,47,1
665,16,48,1
666,16,49,1
667,16,50,2
668,16,51,2
669,16,52,1
670,16,53,1
671,16,55,1
672,16,58,1
673,16,59,1
674,16,60,3
675,16,61,1
676,16,63,1
677,16,64,1
678,16,69,1
679,16,70,1
680,16,71,1
681,16,73,7
682,16,74,1
683,16,75,1
684,16,76,1
685,16,77,1
686,16,78,1
687,16,79,1
688,16,80,1
689,16,82,2
690,16,84,1
691,16,91,1
692,16,96,1
693,16,103,1
694,16,109,1
695,16,111,2
696,16,113,1
697,16,114,1
698,16,115,1
699,16,117,2
700,16,119,1
701,16,123,1
702,16,126,1
703,16,128,1
704,16,130,1
705,16,135,3
706,16,136,3
707,16,149,1
708,16,158,2
709,16,161,1
710,16,169,2
